name,id,subject,keywords,API_type,MD_standards
NCI Imaging Data Commons,RRID:SCR_019127#https://fairsharing.org/4504,2 Life Sciences#205 Medicine#20530 Radiology and Nuclear Medicine#22 Medicine,DICOM#FAIR#cancer imaging#fluorescence#pathology#radiology,REST,
Pseudobase,FAIRsharing_doi:10.25504/FAIRsharing.5ey5w6,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20107 Bioinformatics and Theoretical Biology#202 Plant Sciences#20207 Plant Genetics#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#21 Biology#22 Medicine",RNA sequence#base sequence#dynamic programming algorithm#molecular biology#nucleis acid conformation,,
Brandeis ScholarWorks,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,
MIDAS,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,Lithuania#Vilnius University#health care#multidisciplinary#research data,OAI-PMH,CIF - Crystallographic Information Framework#Dublin Core
Deutsches BioBanken-Register,RRID:SCR_004991#RRID:nlx_143997,2 Life Sciences#201 Basic Biological and Medical Research#205 Medicine#21 Biology#22 Medicine,bioinformatics#biotechnology#clinical research#diagnostics#diseases#health#human samples with associated data,,
China National GeneBank DataBase,FAIRsharing_doi: 10.25504/FAIRsharing.9btRvC,"2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences",BLAST#CDCP#CNSA#Cell-omics Data Coordinate Platform#China National Genebank#China database#Codeplot#Genebank#Nucleotide Sequence Archive#STOC#STOmics#Scientific Research Application Databases#Security Multi-Party Computation#Virus Data Integration Platform#VirusDIP#animal database#biological cloud computing#data submission#disease database#genetic data#genetic data security#genome#microbiome database#plant database#single cell#virus database,FTP#FTP,DataCite Metadata Schema#ISA-Tab
University of the Arts London Data Repository,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#11 Humanities",Creative Arts#Design#Fashion#Mathematics,,Dublin Core
Protein Lysine Modification Database,FAIRsharing_doi:10.25504/fairsharing.se7ewy,"2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#202 Plant Sciences#20207 Plant Genetics#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology",protein lysine modifications#zebrafish,,
National Microbial Resource Platform,,"2 Life Sciences#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",bacterial strain#microbe#microorganisms#mushroom#stem cells#stem conservation,,
Copernicus Space Component Data Access,biodbcore-001312,"3 Natural Sciences#311 Astrophysics and Astronomy#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#32 Physics#34 Geosciences (including Geography)",atmosphere#climate change#earth observation#earth sciences#emergency response#land management#marine environment#satellite observation#security change,other,
ViralZone,FAIRsharing_doi:10.25504/FAIRsharing.tppk10#RRID:SCR_006563#RRID:nlx_144372,"2 Life Sciences#204 Microbiology, Virology and Immunology#20403 Medical Microbiology, Molecular Infection Biology#20404 Virology#21 Biology#22 Medicine",COVID-19#SARS-CoV-2#genome#proteomics#virus,,
World Christian Database,ISSN 1874-6551,1 Humanities and Social Sciences#107 Theology#10701 Protestant Theology#10702 Roman Catholic Theology#11 Humanities,Adventist#Roman Catholic church#Vatican’s Catholic Church#census#christianity#ethnicity#evangelization#religion#theology,,
Comparative Study of Electoral Systems,,1 Humanities and Social Sciences#111 Social Sciences#112 Economics#12 Social and Behavioural Sciences,crossnational reserach#election studies#electoral analysis#psephology#quantitative social research#social science elicitation#statistical survey,,
DASS-BiH,,1 Humanities and Social Sciences#1 Humanities and Social Sciences#102 History#107 Theology#11 Humanities#111 Social Sciences#112 Economics#12 Social and Behavioural Sciences,FAIR#anthropology#diaspora#ethnicity#gender and feminist studies#ideology#inequality#nationality#poverty#social identity#youth,,
National Cotton Database,,"2 Life Sciences#202 Plant Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",Gin Bale Number#Gin Code Number#classification data,,
SedDB,RRID:SCR_002210#RRID:nlx_154724,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31302 Oceanography#316 Geochemistry, Mineralogy and Crystallography#31601 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",geochronology#petrography#petrology#sedimentology,,
LiVES Collection of Osteological Anthropometry Digest,DOI:10.17171/2-12,1 Humanities and Social Sciences#101 Ancient Cultures#102 History#11 Humanities,Europe#Near East#Southwest Asia#biological standard of living#body height#long bone measurements#prehistory#skeleton#stature,,DataCite Metadata Schema
PeanutBase,FAIRsharing_doi:10.25504/FAIRsharing.fYFurb,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,Arachis#Arachis durenensis#Arachis hypogea#Arachis ipaensis#bioinformatics#disease resistance#genetics#genomics#germplasm#groundnut#plant breeding#ploidy,,
Centre for Environmental Data Analysis,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography)#34 Geosciences (including Geography),atmospheric sciences#climate#earth observation#environment#meterology#weather,FTP#NetCDF#OpenDAP,CF (Climate and Forecast) Metadata Conventions#Dublin Core
Dataverse de l'Université TÉLUQ,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
Der Karlsruher Wolkenatlas,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),circumzenithal arc#clouds#dust devil#glories#halos#inversion#lightning#rainbow,,
REFOLDdb,FAIRsharing_doi:10.25504/FAIRsharing.2srshy#RRID:SCR_007889#RRID:nif-0000-03396,2 Life Sciences#201 Basic Biological and Medical Research#20104 Structural Biology#21 Biology,cell biology#molecular biology#nutrition#protein,,
Edinburgh DataShare,OpenDOAR:1176#https://fairsharing.org/4279,"1 Humanities and Social Sciences#1 Humanities and Social Sciences#1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#108 Philosophy#11 Humanities#12 Social and Behavioural Sciences#2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#202 Plant Sciences#205 Medicine#20503 Human Genetics#206 Neurosciences#21 Biology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#32 Physics#33 Mathematics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences#41 Mechanical and industrial Engineering#42 Thermal Engineering/Process Engineering#43 Materials Science and Engineering#44 Computer Science, Electrical and System Engineering#45 Construction Engineering and Architecture",multidisciplinary,,Dublin Core
Eurac Research CLARIN Centre,,"1 Humanities and Social Sciences#104 Linguistics#10401 General and Applied Linguistics#11 Humanities#4 Engineering Sciences#409 Computer Science#40904 Artificial Intelligence, Image and Language Processing#44 Computer Science, Electrical and System Engineering",Italian language#computer-mediated communication#corpora#language learner data,OAI-PMH,Dublin Core
Abacus Data Network,,1 Humanities and Social Sciences#2 Life Sciences#4 Engineering Sciences,computer science#economics#electrical engineering#financial statistics#geography#geosciences#health#humanities#social and behavioural scienes#survey#system engineering,REST#SWORD,DDI - Data Documentation Initiative#Dublin Core#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#other
DataSTORRE,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,Dublin Core
National Earthquake DataBase,,3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography),epicentral solutions#geosciences#hazard#seismology#waveform,,
The World Atlas of Language Structures,,"1 Humanities and Social Sciences#104 Linguistics#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#11 Humanities",geographical language distribution#grammatical properties of languages#language spread#languages worldwide#lexical properties of languages#linguistics#lingustic topology#phonological properties of languages#structural lingustic features,OAI-PMH#other,ISO 19115
DesignSafe-CI Data Depot Repository,,"1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#3 Natural Sciences#315 Geophysics and Geodesy#31501 Geophysics#34 Geosciences (including Geography)#4 Engineering Sciences#410 Construction Engineering and Architecture#41004 Sructural Engineering, Building Informatics, Construction Operation#45 Construction Engineering and Architecture",computational modeling tools#cyberinfrastructure#data dictionaries#earthquake#experiments#field research#hazard#hybrid simulations#natural hazard event reports#research protocols#simulations#social sciences#storm surge#wind engineering#windstorm,REST,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#PROV
Nuclear Data Services,,"3 Natural Sciences#308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas#309 Particles, Nuclei and Fields#32 Physics",atomic data#energy security#fisson reactor design#nuclear data#nuclear energy#nuclear engineering - safety measures#nuclear fuel cycles#nuclear reactors#nuclear safeguards,,
Social Science Japan Data Archive,,1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences,Japanese Life Course Panel Surveys (JLPS)#empirical research#quantitative data#secondary analysis#social survey,,DDI - Data Documentation Initiative
Collaborative Research Centre 806 Database,,"1 Humanities and Social Sciences#101 Ancient Cultures#10101 Prehistory#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10601 Social and Cultural Anthropology and Ethnology/Folklore#11 Humanities#3 Natural Sciences#317 Geography#34 Geosciences (including Geography)",archaeology#arktis#atmosphere#climate#cultural environment#environmental conditions#geoscience#human mobility#ice#ocean#paleoenvironment#prehistory,FTP,
DataRepositoriUM,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
Repository of the Faculty of Science,,1 Humanities and Social Sciences#2 Life Sciences#21 Biology#3 Natural Sciences#31 Chemistry#311 Astrophysics and Astronomy#314 Geology and Palaeontology#315 Geophysics and Geodesy#31501 Geophysics#317 Geography#32 Physics#33 Mathematics#34 Geosciences (including Geography),institutional repository#multidisciplinary,OAI-PMH#REST,Dublin Core
Data.gov.au,,"1 Humanities and Social Sciences#109 Education Sciences#111 Social Sciences#11102 Empirical Social Research#11103 Communication Science#11104 Political Science#112 Economics#11201 Economic Theory#11202 Economic and Social Policy#11203 Public Finance#113 Jurisprudence#11301 Legal and Political Philosophy, Legal History, Legal Theory#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",business#communication#culture#demography#education#employment (economic theory)#finance#geography#government information#health#history#humanities#industries#law#multidisciplinary#political science#politics and culture#public safety#science#social sciences#societies#technology#tourism#transportation,other,DCAT - Data Catalog Vocabulary#ISO 19115
Dataverse de Polytechnique Montréal,,2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,chemistry#engineering#health#multidisciplinary#physics,REST#SWORD,DDI - Data Documentation Initiative#DataCite Metadata Schema#Dublin Core#OAI-ORE - Open Archives Initiative Object Reuse and Exchange
NASA/IPAC InfraRed Science Archive,,3 Natural Sciences#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#32 Physics,2MASS#AKARI#BLAST#BOLOCAM#COSMOS#DENIS#Herschel#IRAS#IRTS#ISO#MSX#PPXML#Planck#SDSS#SWAS#Spitzer Space Telescope#USNO#WISE#infrared missions#mapping#satellite missions#sub-millimeter missions,other,
ICOS Carbon Portal,FAIRsharing_doi:10.25504/FAIRsharing.p9SgT0,3 Natural Sciences#313 Atmospheric Science and Oceanography#34 Geosciences (including Geography),GPP#NEE#NEP#NPP#Net ecosystem exchange#Net primary productivity#WDCGG#atmosphere#atmospheric composition#climate#ecosystem#greenhouse gas#gross primary productivity#isotopic composition#latent hetaflux#net ecosystem productivity#ocean#sensible heatflux,SPARQL,CF (Climate and Forecast) Metadata Conventions#DCAT - Data Catalog Vocabulary#Dublin Core#ISO 19115
NREL Geospatial Data Science,,"3 Natural Sciences#313 Atmospheric Science and Oceanography#316 Geochemistry, Mineralogy and Crystallography#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)",bioenergy#biomass#geothermal#renewable energy#solar#water#wind,,
Mexican Health and Aging Study,FAIRsharing_DOI:10.25504/FAIRsharing.n8qft8#RRID:SCR_000818#RRID:nlx_151859,"1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",aging process#cohort study#disability burden#disease#economic history#family transfer systems#gereontology#health#life circumstances#migration#migration,,
cIRcle,,"3 Natural Sciences#312 Mathematics#33 Mathematics#4 Engineering Sciences#409 Computer Science#44 Computer Science, Electrical and System Engineering",computer science#electrical engineering#humanities#mathematics#social and behavioural sciences#statistics#system engineering,,
TextGrid Repository,,1 Humanities and Social Sciences#104 Linguistics#105 Literary Studies#11 Humanities,art#corpora#cultural history#fairytales#humanities#literature#philosophy#sociology,REST#SOAP,Dublin Core
Faces Of Fungi database,FAIRsharing_doi:10.25504/FAIRsharing.jr31ex,2 Life Sciences#21 Biology,electrical conductivity#mycelial biomass#mycelial growth rate#osmotic pressure,,
National Marine Mammal Data Portal,,2 Life Sciences#201 Basic Biological and Medical Research#203 Zoology#20304 Sensory and Behavioural Biology#21 Biology,Australasian Right Whale Photo-Identification Catalogue (ARWPIC)#cetacean#entanglement#incident#injury#ship strike#sighting#stranding,,
EUREF Permanent Network,,3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#317 Geography#34 Geosciences (including Geography),ETRS89#EVRS#European Terrestrial Reference System#European Vertical Reference System#GLONASS#GNSS#GPS#Galileo#Global Navigation Satellite System#satellite,FTP,
Multimodal Learning Corpus Exchange,ISSN 2425-3316,1 Humanities and Social Sciences#104 Linguistics#10401 General and Applied Linguistics#109 Education Sciences#11 Humanities#12 Social and Behavioural Sciences,learning#teaching,OAI-PMH,Dublin Core#other
"Survey of Health, Ageing and Retirement in Europe",,"1 Humanities and Social Sciences#111 Social Sciences#11102 Empirical Social Research#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",bio-markers#census data#conditions#consumption#family network#microdata#physical and cognitive functioning#social network#volunteer activities#wealth,,
Open Government Data Portal of Surat City,,"1 Humanities and Social Sciences#109 Education Sciences#111 Social Sciences#112 Economics#11203 Public Finance#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#317 Geography#34 Geosciences (including Geography)",Open Government Data (OGD)#Surat City#Surat Municipal Corporation#birth and death rate#citizen facilities#professional tax registration#property tax#public administration#vehicle registration#weather information,,
Experimental Lakes Area,,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#20203 Inter-organismic Interactions of Plants#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology#3 Natural Sciences#313 Atmospheric Science and Oceanography#318 Water Research#31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management#34 Geosciences (including Geography)",algae ecology#aquaculture#chemistry#climate change#ecology#environment#fish behaviour#hydrology#marine biology#meteorology#zooplankton,,
Geoportal der BFG,,3 Natural Sciences#318 Water Research#34 Geosciences (including Geography),German lakes#German waterways#WasserBLICK#drinking water#flood#hydrography#hydrologic Atlas#surface water,,ISO 19115
Repositorio Institucional USIL,OpenDOAR:3128#ROAR:11444,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,,Dublin Core
MEROPS,FAIRsharing_doi: 10.25504/FAIRsharing.2s4n8r#RRID:SCR_007777#RRID:nif-0000-03112,2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#205 Medicine#21 Biology#22 Medicine,amino acid sequence#biology#biotechnology#cell lines#classification scheme#genomics#hydrolytic cleavage#inhibitors#nucleic acid sequence#peptidase#protease#protein#proteinase#proteolytic enzyme#proteolytic enzymes,FTP,
GGSP - ISDC,,"3 Natural Sciences#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",Galileo#Galileo  Terres trial  Reference  Frame#earth rotation parameters#geodynamics#satellite#satellites orbits,,
Global Biodiversity Information Facility,FAIRsharing_doi:10.25504/FAIRsharing.zv11j3#ROR:05fjyn938#RRID:SCR_005904#RRID:nlx_149475,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",animal#archaea#bacteria#biodiversity#chromista#fungi#plant#protozoa#virus,REST,ABCD - Access to Biological Collection Data#Darwin Core#EML - Ecological Metadata Language
Nanomaterial Registry,FAIRsharing_doi:10.25504/FAIRsharing.an0y9t#RRID:SCR_013793,3 Natural Sciences#301 Molecular Chemistry#30102 Organic Molecular Chemistry#31 Chemistry#32 Physics#4 Engineering Sciences#406 Materials Science#43 Materials Science and Engineering,Nanomaterials#Nanotechnology,,
MADATA - Mannheim research data repository,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,
ISTA Research Explorer,,"2 Life Sciences#202 Plant Sciences#206 Neurosciences#21 Biology#22 Medicine#3 Natural Sciences#31 Chemistry#32 Physics#33 Mathematics#34 Geosciences (including Geography)#4 Engineering Sciences#44 Computer Science, Electrical and System Engineering",Markov decision process#counterexample explanation#decision tree#ecology#engineering#evolution#fluid mechanics#genetics#life sciences#liquid mechanics#microorganisms#probabilistic verification,OAI-PMH,Dublin Core
GENCODE,RRID:SCR_014966,"2 Life Sciences#201 Basic Biological and Medical Research#204 Microbiology, Virology and Immunology#205 Medicine#21 Biology#22 Medicine",biotype#chromosomes#genes#human#mouse#protein,FTP#FTP#REST,Repository-Developed Metadata Schemas
Open Data Kingston,,"1 Humanities and Social Sciences#111 Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#22 Medicine",demographics#education#environment#governance#neighbourhood#public health#recreation#shelter#transportation#urban planning,REST,DCAT - Data Catalog Vocabulary
SOAP,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,QSQS and galaxies#Subaru Deep Field (SDF)#Subaru XMM-Newton Deep Survey (SXDS)#astronomy#astrophysics#extragalactic X-ray population#universe,,
RODARE,,2 Life Sciences#201 Basic Biological and Medical Research#21 Biology#3 Natural Sciences#32 Physics#4 Engineering Sciences#406 Materials Science#43 Materials Science and Engineering,FAIR#multidisciplinary,OAI-PMH,DataCite Metadata Schema#Dublin Core
Queen's Research Data Centre,,1 Humanities and Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,census#household surveys#microdata#population#statistics,,
Australian Bureau of Meteorology data catalogue,,3 Natural Sciences#313 Atmospheric Science and Oceanography#315 Geophysics and Geodesy#318 Water Research#34 Geosciences (including Geography),agriculture#climate#marine#ocean#rainfall#seasonal outlooks#water#water storage#weather,,Repository-Developed Metadata Schemas
BIGG Database,FAIRsharing_doi:10.25504/FAIRsharing.va62ke#OMICS_02533#RRID:SCR_005809#RRID:nlx_149299,"2 Life Sciences#201 Basic Biological and Medical Research#20101 Biochemistry#20105 General Genetics#204 Microbiology, Virology and Immunology#20401 Metabolism, Biochemistry and Genetics of Microorganisms#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine",biochemistry#bioinformatics#genetics#genomics#metabolic network#metabolic pathway#metabolism,REST,
Brain Analysis Library of Spatial maps and Atlases,biodbcore-001835,1 Humanities and Social Sciences#12 Social and Behavioural Sciences#2 Life Sciences#206 Neurosciences#20602 Cellular Neuroscience#22 Medicine,biological imaging#brain imaging#magnetic resonance imaging#primate,,Repository-Developed Metadata Schemas
Database of Zeolite Structures,,"3 Natural Sciences#31 Chemistry#316 Geochemistry, Mineralogy and Crystallography#32 Physics#34 Geosciences (including Geography)",crystallography#physical sciences,,
North American Breeding Bird Survey,,"2 Life Sciences#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",Biological Sciences#avian breeding#avian point counts#biodiversity#bioinformatics#bird monitoring#bird occurrences#bird taxa#ornitology#population#population distribution,,
Canue Data Portal,,"3 Natural Sciences#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#317 Geography#318 Water Research#34 Geosciences (including Geography)",Landsat#NDVI#TOA#greenness#satellite monitoring#water,,Repository-Developed Metadata Schemas
Monitor of Settlement and Open Space Development,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#4 Engineering Sciences#410 Construction Engineering and Architecture#41002 Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning#45 Construction Engineering and Architecture",agriculture#forest#fragmentation#hemerobie#land cover#land use#open space#settlement density,REST,
Town of Huntsville Open Data,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,multidisciplinary,REST,Repository-Developed Metadata Schemas
Emage,FAIRsharing_doi:10.25504/FAIRsharing.6qr9jp#RRID:SCR_005391#RRID:nif-0000-00080,"2 Life Sciences#201 Basic Biological and Medical Research#203 Zoology#20306 Animal Genetics, Cell and Developmental Biology#21 Biology",DNA#bioinformatics#genes#genetics#molecular biology#mouse embryo#proteins,REST#other,
Sandrart.net,,"1 Humanities and Social Sciences#103 Fine Arts, Music, Theatre and Media Studies#10301 Art History#11 Humanities",17th century#Joachim von Sandrart#ancient architecture#art writer#curriculum vitae#painting,REST,
AspGD,FAIRsharing_doi:10.25504/FAIRsharing.9k7at4#RRID:SCR_001880#RRID:nif-0000-02577,"2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#204 Microbiology, Virology and Immunology#21 Biology#22 Medicine",RNA sequence#fungi#gene ontology#life sciences#molecular biology#pathogene,,Repository-Developed Metadata Schemas
National Biodiversity Network Atlas,FAIRsharing_doi:10.25504/FAIRsharing.p7YFEc,"2 Life Sciences#202 Plant Sciences#20201 Plant Systematics and Evolution#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",Biodiversity#UK biodiversity data,REST,
The Antibody Registry,FAIRsharing_doi:10.25504/FAIRsharing.3wdd17#RRID:SCR_006397#RRID:nif-0000-07730,"2 Life Sciences#204 Microbiology, Virology and Immunology#20405 Immunology#21 Biology#22 Medicine",Antibody#Immunology,,
Stemformatics,RRID:SCR_017002,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#20105 General Genetics#20107 Bioinformatics and Theoretical Biology#205 Medicine#20503 Human Genetics#21 Biology#22 Medicine,Kegg pathways#bioinformatics#cell gene expressions#human stem cell#mouse stem cell,,
NCBI HomoloGene,OMICS_01544#RRID:SCR_002924#RRID:nif-0000-02975,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#21 Biology,DNA#amino acid sequence#bioinformatics#biotechnology#chromosome#eukaryotic cells#genomes#homology (Biology)#mutation#phenotype,FTP,
Radiation Belt Storm Probes Ion Composition Experiment,,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31501 Geophysics#32 Physics#34 Geosciences (including Geography),Van Allen Probes#magnetosphere ring current instrument#ring current#space science#space weather#time of flight,FTP#FTP#FTP#FTP#REST,SPASE Data Model
Panel Data Research Center at Keio University Data,,1 Humanities and Social Sciences#111 Social Sciences#112 Economics#11205 Statistics and Econometrics#12 Social and Behavioural Sciences,CNEF#Cross-National Equivalent File#GEES#Great East Japan Earthquake Special Survey#JCPS#JHPS#JPSC#Japan Child Panel Survey#Japan Household Panel Survey#Japanese Panel Survey of Consumers#KHPS#microdata#survey,,
The Monarch Initiative,OMICS_14548#RRID:SCR_001373#RRID:nlx_152525,2 Life Sciences#201 Basic Biological and Medical Research#20105 General Genetics#20108 Anatomy#21 Biology,abnormalities in flies#abnormalities in mouse#abnormalities in zebrafish#anatomy#disease#drug#gene expression#genetics#genotype#human gene function#mutation#orthology#pathways#phenotypes#strain,other,
BioGRID ORCS,FAIRsharing_doi:10.25504/FAIRsharing.lKaOme,2 Life Sciences#201 Basic Biological and Medical Research#202 Plant Sciences#21 Biology,drosophila melanogaster#enzyme#gene#homo sapiens#mus musculus#protein,REST,
JACQ - Virtual Herbaria,,2 Life Sciences#202 Plant Sciences#20207 Plant Genetics#21 Biology,herbarium#specimen,,
Comprehensive Epidemiological Data Resource,,"2 Life Sciences#205 Medicine#22 Medicine#4 Engineering Sciences#408 Electrical Engineering#40803 Electrical Energy Generation, Distribution, Application#44 Computer Science, Electrical and System Engineering",epidemiology#health studies,,Repository-Developed Metadata Schemas
The Cell Vision,,2 Life Sciences#201 Basic Biological and Medical Research#20103 Cell Biology#21 Biology,cell Imaging#endocytosis#yeast Cell,,
The Uruk-Warka Survey,doi: 10.17171/1-12,1 Humanities and Social Sciences#101 Ancient Cultures#102 History#11 Humanities,Iraq#Uruk-Warka Survey#alluvial lowlands#pottery#settlement survey#southern Mesopotamia,,DataCite Metadata Schema
NSF Arctic Data Center,FAIRsharing_DOI:10.25504/FAIRsharing.6QPjtA,"1 Humanities and Social Sciences#2 Life Sciences#202 Plant Sciences#203 Zoology#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20701 Soil Sciences#20710 Basic Forest Research#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#31 Chemistry#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#31302 Oceanography#316 Geochemistry, Mineralogy and Crystallography#317 Geography#318 Water Research#32 Physics#34 Geosciences (including Geography)",Arctic,REST,CF (Climate and Forecast) Metadata Conventions#DataCite Metadata Schema#EML - Ecological Metadata Language#FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata#ISO 19115#PROV
GeoPRISMS Data Portal,,"2 Life Sciences#202 Plant Sciences#20205 Plant Biochemistry and Biophysics#21 Biology#3 Natural Sciences#315 Geophysics and Geodesy#316 Geochemistry, Mineralogy and Crystallography#34 Geosciences (including Geography)",climatic hazards#continental margins#earthquake#hydrocarbon resources#landslide#metal resources#population density#volcanic,REST,ISO 19115
CosmoSim,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,BigMD#Bolshoi#CLUES#MultiDark#MultiDark-Planck - MDPL#cosmology#dark matter#galaxy#halo#simulation projects#warm dark matter,other,
Tropospheric Emission Spectrometer,biodbcore-001533,3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#34 Geosciences (including Geography),FTIR#Fourier Transfer Infrared Spectrometer#air pollution#carbon monoxide#carbon monoxide#greenhouse gases#methane#nitric acid#nitrogene dioxide#ozone#stratosphere#troposphere#water vapor,FTP#FTP,Repository-Developed Metadata Schemas
HDAP,,3 Natural Sciences#311 Astrophysics and Astronomy#32 Physics,Photographic plate#Pointed observations#astrophotography,other,
